Names,Status,Location,Laps,TotalLaps,Battery,ActiveTime,IdleTime,ReturnTime
Caprica,Patrolling,1,2,121,7.00,2362.89873838,1577.36737204,79.6505320072
Anders,Patrolling,5,9,186,7.00,3191.17044687,800.499513865,95.9384949207
Leoben,Patrolling,2,2,96,7.00,1678.54391503,2334.92079806,50.1344838142
Boomer,Charging,3,7,176,-4490.38,3151.67411637,844.838151217,135.448803902
Hera,Patrolling,6,7,181,6.06,2909.58849621,887.742095947,42.1261181831
Tigh,Charging,3,0,82,7.00,1498.25035381,2600.49797511,102.695719957
Anders,Patrolling,5,9,196,7.00,3314.37598491,800.499513865,95.9384949207
Tigh,Patrolling,3,0,82,7.00,1498.25035381,2600.49797511,102.695719957
Anders,Patrolling,5,0,196,7.00,3314.37598491,800.499513865,95.9384949207
Hera,Charging,3,7,188,-4364.00,3220.92156911,887.742095947,105.677418232
Sharon,Patrolling,4,9,98,7.00,1809.7431488,2372.85921597,73.7688179016
Anders,Charging,3,0,196,-7.89,3326.84506893,800.499513865,152.511681795
Anders,Patrolling,3,0,196,7.00,3326.84506893,800.499513865,152.511681795
Sharon,Patrolling,4,3,101,7.00,1809.7431488,2372.85921597,73.7688179016
Caprica,Patrolling,0,9,131,7.00,2643.70928955,1577.36737204,79.6505320072
Sharon,Charging,3,0,101,7.00,1853.81437492,2372.85921597,104.948084831
Leoben,Patrolling,1,9,106,7.00,1954.90292311,2334.92079806,50.1344838142
Sharon,Patrolling,3,0,101,7.00,1853.81437492,2372.85921597,104.948084831
Caval,Patrolling,4,2,266,7.00,3365.66663504,915.533106089,81.871201992
Caval,Patrolling,5,2,268,7.00,3365.66663504,915.533106089,81.871201992
Caprica,Patrolling,0,9,141,7.00,2839.09321475,1577.36737204,79.6505320072
Leoben,Patrolling,1,9,116,7.00,2137.00031614,2334.92079806,50.1344838142
Tigh,Patrolling,4,2,84,7.00,1498.25035381,2860.19464612,102.695719957
Boomer,Patrolling,2,9,186,7.00,3320.26092243,1114.91720915,135.448803902
Caprica,Patrolling,0,9,151,7.00,2994.45728874,1577.36737204,79.6505320072
Leoben,Patrolling,1,9,126,7.00,2328.00520325,2334.92079806,50.1344838142
Caval,Patrolling,6,9,278,7.00,3723.17846107,915.533106089,81.871201992
Tigh,Patrolling,5,9,94,7.00,1774.59029269,2860.19464612,102.695719957
Hera,Patrolling,4,9,198,7.00,3388.54059196,1271.96335697,105.677418232
Boomer,Patrolling,2,9,196,7.00,3516.39205837,1114.91720915,135.448803902
Caprica,Patrolling,0,9,161,7.00,3189.58063269,1577.36737204,79.6505320072
Boomer,Patrolling,2,9,206,7.00,3636.41816735,1114.91720915,135.448803902
Tigh,Patrolling,5,9,104,7.00,1930.00359178,2860.19464612,102.695719957
Leoben,Patrolling,1,9,136,7.00,2545.83955216,2334.92079806,50.1344838142
Caval,Patrolling,6,9,288,7.00,3963.53324103,915.533106089,81.871201992
Caprica,Patrolling,0,9,171,7.00,3346.50028276,1577.36737204,79.6505320072
Hera,Patrolling,4,9,208,7.00,3626.11331487,1271.96335697,105.677418232
Boomer,Patrolling,2,9,216,7.00,3795.97779226,1114.91720915,135.448803902
Tigh,Patrolling,5,9,114,7.00,2108.72806287,2860.19464612,102.695719957
Leoben,Patrolling,1,9,146,7.00,2703.30284739,2334.92079806,50.1344838142
Caval,Patrolling,6,9,298,7.00,4146.09040403,915.533106089,81.871201992
Hera,Patrolling,4,9,218,7.00,3784.62012887,1271.96335697,105.677418232
Caprica,Patrolling,0,8,179,2.57,3346.50028276,1577.36737204,79.6505320072
Boomer,Patrolling,2,4,220,7.00,3795.97779226,1114.91720915,135.448803902
Leoben,Patrolling,1,4,150,7.00,2703.30284739,2334.92079806,50.1344838142
Caprica,Charging,3,8,187,-4164.81,3506.70244479,1577.36737204,138.501219034
Leoben,Charging,3,0,150,7.00,2811.78095055,2334.92079806,98.2382009029
Leoben,Patrolling,3,0,150,7.00,2811.78095055,2334.92079806,98.2382009029
Caval,Patrolling,6,9,308,7.00,4271.53603601,915.533106089,81.871201992
Tigh,Patrolling,5,9,124,7.00,2312.79149485,2860.19464612,102.695719957
Anders,Patrolling,2,0,196,7.00,3326.84506893,1795.44419098,152.511681795
Caval,Patrolling,6,9,318,7.00,4316.78977585,915.533106089,81.871201992
Boomer,Patrolling,1,5,225,7.00,3795.97779226,1114.91720915,135.448803902
Caval,Patrolling,6,9,328,7.00,4362.60364294,915.533106089,81.871201992
Hera,Patrolling,4,9,228,7.00,4019.755723,1271.96335697,105.677418232
Caval,Patrolling,6,9,338,7.00,4403.73115897,915.533106089,81.871201992
Caval,Patrolling,6,9,348,7.00,4451.32982683,915.533106089,81.871201992
Caval,Patrolling,6,9,358,7.00,4492.32697678,915.533106089,81.871201992
Tigh,Patrolling,5,9,134,7.00,2535.57603383,2860.19464612,102.695719957
Boomer,Patrolling,0,9,235,7.00,4258.99613619,1114.91720915,135.448803902
Anders,Patrolling,1,9,206,7.00,3570.80542803,1795.44419098,152.511681795
Caval,Patrolling,6,9,368,7.00,4536.60830879,915.533106089,81.871201992
Hera,Patrolling,4,9,238,7.00,4195.95688009,1271.96335697,105.677418232
Caval,Patrolling,6,9,378,7.00,4620.28955984,915.533106089,81.871201992
Tigh,Patrolling,5,9,144,7.00,2660.69187975,2860.19464612,102.695719957
Sharon,Patrolling,2,9,111,7.00,2109.65989685,3415.93816781,104.948084831
Boomer,Patrolling,0,9,245,7.00,4387.50098515,1114.91720915,135.448803902
Anders,Patrolling,1,9,216,7.00,3760.07862496,1795.44419098,152.511681795
Hera,Patrolling,4,9,248,7.00,4382.53328896,1271.96335697,105.677418232
Caval,Patrolling,6,9,388,7.00,4765.49913192,915.533106089,81.871201992
Sharon,Patrolling,2,9,121,7.00,2301.15562487,3415.93816781,104.948084831
Boomer,Patrolling,0,9,255,7.00,4607.82891107,1114.91720915,135.448803902
Anders,Patrolling,1,9,226,7.00,3916.68051887,1795.44419098,152.511681795
Tigh,Patrolling,5,9,154,7.00,2904.44777274,2860.19464612,102.695719957
Hera,Patrolling,4,9,258,7.00,4507.55046201,1271.96335697,105.677418232
Caval,Patrolling,6,9,398,7.00,4919.48501587,915.533106089,81.871201992
Boomer,Patrolling,0,5,260,6.14,4607.82891107,1114.91720915,135.448803902
Anders,Patrolling,1,4,230,7.00,3916.68051887,1795.44419098,152.511681795
Sharon,Patrolling,2,8,129,7.00,2301.15562487,3415.93816781,104.948084831
Boomer,Charging,3,5,265,-3799.77,4686.20244718,1114.91720915,194.112527847
Tigh,Patrolling,5,6,160,1.59,2904.44777274,2860.19464612,102.695719957
Caval,Patrolling,6,4,402,4.26,4919.48501587,915.533106089,81.871201992
Tigh,Charging,3,6,166,-1383.16,3034.68383384,2860.19464612,136.925335884
Hera,Patrolling,4,5,263,7.00,4507.55046201,1271.96335697,105.677418232
Caval,Charging,3,4,406,-2166.41,5000.52896094,915.533106089,124.509469032
Hera,Patrolling,5,4,267,7.00,4507.55046201,1271.96335697,105.677418232
Leoben,Patrolling,4,2,152,7.00,2811.78095055,3150.79059696,98.2382009029
Anders,Patrolling,0,9,240,7.00,4232.63273978,1795.44419098,152.511681795
Hera,Patrolling,6,3,270,-59.81,4507.55046201,1271.96335697,105.677418232
Sharon,Patrolling,1,9,139,7.00,2681.94345689,3415.93816781,104.948084831
Boomer,Patrolling,4,0,265,7.00,4686.20244718,1317.58070922,194.112527847
Caprica,Patrolling,2,9,197,7.00,3740.51298285,2367.10431504,138.501219034
Leoben,Patrolling,5,2,154,7.00,2811.78095055,3150.79059696,98.2382009029
Hera,Charging,3,3,273,-4866.49,4816.28393984,1271.96335697,163.671238184
Anders,Patrolling,0,9,250,7.00,4369.10307169,1795.44419098,152.511681795
Sharon,Patrolling,1,9,149,7.00,2907.71037292,3415.93816781,104.948084831
Tigh,Patrolling,4,9,176,7.00,3177.52505064,3118.08585811,136.925335884
Caprica,Patrolling,2,9,207,7.00,3930.20051599,2367.10431504,138.501219034
Leoben,Patrolling,6,9,164,7.00,3202.14321852,3150.79059696,98.2382009029
Boomer,Patrolling,5,9,275,7.00,4967.52769613,1317.58070922,194.112527847
Anders,Patrolling,0,9,260,7.00,4580.61454177,1795.44419098,152.511681795
Tigh,Patrolling,4,9,186,7.00,3331.05508471,3118.08585811,136.925335884
Leoben,Patrolling,6,9,174,7.00,3383.77580857,3150.79059696,98.2382009029
Sharon,Patrolling,1,9,159,7.00,3116.54898071,3415.93816781,104.948084831
Caprica,Patrolling,2,9,217,7.00,4151.82090402,2367.10431504,138.501219034
Boomer,Patrolling,5,9,285,7.00,5181.42474604,1317.58070922,194.112527847
Tigh,Patrolling,4,9,196,7.00,3478.54600668,3118.08585811,136.925335884
Anders,Patrolling,0,9,270,7.00,4802.71896768,1795.44419098,152.511681795
Sharon,Patrolling,1,9,169,7.00,3267.0876627,3415.93816781,104.948084831
Leoben,Patrolling,6,9,184,7.00,3570.05465651,3150.79059696,98.2382009029
Anders,Patrolling,0,3,273,0.77,4802.71896768,1795.44419098,152.511681795
Caprica,Patrolling,2,8,225,7.00,4151.82090402,2367.10431504,138.501219034
Anders,Charging,3,3,276,-2805.74,4871.57795167,1795.44419098,200.505690813
